Location ID,Location Name,Hospital,"Aviva, Key List - Personal Care","Aviva, Key List - Select Care","Aviva, Key List - Children's","Aviva, Extended List - Express Care","Aviva, Extended List - Exclusive","Aviva, Extended List - Company Connect","Aviva, Extended List - Company Healthcover",Aviva - Fair & Square,Aviva - Speedy Diagnostics,Aviva - Capital Option List,Aviva -Trust Hospital List,IGNORE AFTER THIS COLUMN,"Personal Care, Select Care, Children's Private Medical Insurance","Express Care, Exclusive, Company Connect, Company Healthcover",T,Signature (Scotland & NI),Aviva - Capital Option,Country
1-115574597,Nuffield Health Leicester Hospital ,Nuffield Health Leicester Hospital,1,1,1,1,1,1,1,1,,1,,,1,1,,,,England
1-115574757,Nuffield Health The Manor Hospital Oxford ,Nuffield Health Manor Hosp Oxford,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-115574618,Nuffield Health Newcastle-upon-Tyne Hospital ,Nuffield Health Newcastle-upon-Tyne Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-115574639,Nuffield Health North Staffordshire Hospital ,Nuffield Health North Staffordshire Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-115574658,Nuffield Health Plymouth Hospital ,Nuffield Health Plymouth Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-115574678,Nuffield Health Shrewsbury Hospital ,Nuffield Health Shrewsbury Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-115574698,Nuffield Health Taunton Hospital ,Nuffield Health Taunton Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-115574718,Nuffield Health Tees Hospital ,Nuffield Health Tees Hospital,1,1,1,1,1,1,1,1,,1,,,1,1,,,,England
1-115574778,Nuffield Health Tunbridge Wells Hospital ,Nuffield Health Tunbridge Wells Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-115574798,Nuffield Health Warwickshire Hospital ,Nuffield Health Warwickshire Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-115574838,Nuffield Health Woking Hospital ,Nuffield Health Woking Hospital,1,1,1,1,1,1,1,1,,1,,,1,1,,,,England
1-115574857,Nuffield Health Wolverhampton Hospital ,Nuffield Health Wolverhampton Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-115574877,Nuffield Health York Hospital ,Nuffield Health York Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-2444342125,One Ashford Hospital ,One Ashford Hospital,1,1,1,1,1,1,1,,,1,,,1,1,,,,England
1-4564871196,One Hatfield Hospital Ltd ,One Hatfield,1,1,1,1,1,1,1,,,1,,,1,1,,,,England
RGM21,Papworth Hospital ,Papworth Hospital - Varrier Jones Ward,S,S,S,S,S,S,S,,,1,S,,S,S,S,,,England
1-1890547068,Parkside Hospital ,Parkside Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-126955917,The Portland Hospital for Women and Children ,Portland Hospital for Women & Children (HCA),,,,1,1,1,1,1,,C,,,,1,,,1,England
1-126955732,The Princess Grace Hospital ,Princess Grace Hospital,,,,1,1,1,1,1,,C,,,,1,,,1,England
RHU03,Queen Alexandra Hospital ,Queen Alexandra Hospital,1,1,1,1,1,1,1,,,1,1,,1,1,1,,,England
RYJ04,Queen Charlottes and Chelsea Hospital ,Queen Charlottes and Chelsea Hospital,1,1,1,1,1,1,1,,,1,,,1,1,,,,England
1-128718687,Ashtead Hospital ,Ramsay Ashtead Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-128733141,The Berkshire Independent Hospital ,Ramsay Berkshire Independent Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-128732707,Duchy Hospital ,Ramsay Duchy Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-128732725,Euxton Hall Hospital ,Ramsay Euxton Hall,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-128732743,Fitzwilliam Hospital ,Ramsay Fitzwilliam Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-128732946,Fulwood Hall Hospital ,Ramsay Fulwood Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-128758296,BMI Gisburne Park Hospital ,Ramsay Gisburn Park,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-128732982,Mount Stuart Hospital ,Ramsay Mount Stuart Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-128732997,New Hall Hospital ,Ramsay New Hall Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-128733015,North Downs Hospital ,Ramsay North Downs Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-128733032,Oaklands Hospital ,Ramsay Oaklands Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-128733050,Oaks Hospital ,Ramsay Oaks Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
,,Ramsay Orwell Prvt Cardio - Thorc Unit,,,,,,,,,,,S,,,,S,,1,England
1-138502307,Park Hill Hospital ,Ramsay Park Hill Hospital,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,,England
1-128733068,Pinehill Hospital ,Ramsay Pinehill Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-128733087,Renacres Hospital ,Ramsay Renacres Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-128733105,Rivers Hospital ,Ramsay Rivers Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-128732964,Rowley Hall Hospital ,Ramsay Rowley Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-128733123,Springfield Hospital ,Ramsay Springfield Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-128733177,West Midlands Hospital ,Ramsay West Midlands Hospital,1,1,1,1,1,1,1,1,,1,,,1,1,,,,England
1-128733195,Winfield Hospital ,Ramsay Winfield Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-128733213,Woodland Hospital ,Ramsay Woodland Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-128733159,The Yorkshire Clinic ,Ramsay Yorkshire Clinic,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
RL131,The Robert Jones & Agnes Hunt Hospital ,Robert Jones and Agnes Hunt Orthopaedic Hospital - Ludlow Wa,S,S,S,S,S,S,S,,,1,S,,S,S,S,,,England
RT302,Royal Brompton Hospital ,Royal Brompton National Heart and Lung Hospital - Sir Reginald Wilson Ward,S,S,S,S,S,S,S,,,1,S,,S,S,S,,,England
RTGFG,Royal Derby Hospital ,Royal Derby Hospital,1,1,1,1,1,1,1,,,1,1,,1,1,1,,,England
RAL01,The Royal Free Hospital ,Royal Free Hospital,1,1,1,1,1,1,1,,1,1,1,,1,1,1,,,England
RPY01,The Royal Marsden - London ,Royal Marsden Hospital - Granard House,S,S,S,S,S,S,S,,,1,S,,S,S,S,,,England
RPY02,The Royal Marsden - Sutton ,Royal Marsden Hospital (Sutton),S,S,S,S,S,S,S,,,1,S,,S,S,S,,,England
RAN01,The Royal National Orthopaedic Hospital (Stanmore) ,Royal National Orthopaedic Hospital - Ian Monro/Philip Newman Wards,S,S,S,S,S,S,S,,,1,S,,S,S,S,,,England
RTD02,Royal Victoria Infirmary ,Royal Victoria Infirmary - The Park Suite,1,1,1,1,1,1,1,,1,1,1,,1,1,1,,,England
,,Schoen Clinic London,,,,S,S,S,S,,,,,,,S,,,1,England
1-118822952,Spencer Private Hospital ,Spencer Private Hospital,1,1,1,1,1,1,1,,1,1,,,1,1,,,,England
1-129783078,Spire Alexandra Hospital ,Spire Alexandra Hospital,1,1,1,1,1,1,1,,1,1,,,1,1,,,,England
1-129783097,Spire Bristol Hospital ,Spire Bristol Hospital,1,1,1,1,1,1,1,,1,1,,,1,1,,,,England
1-129798115,Spire Bushey Hospital ,Spire Bushey Hospital,1,1,1,1,1,1,1,,1,1,,,1,1,,,,England
1-129798134,Spire Cambridge Lea Hospital ,Spire Cambridge Lea Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-129798153,Spire Cheshire Hospital ,Spire Cheshire Hospital,1,1,1,1,1,1,1,,1,1,,,1,1,,,,England
1-2745447408,Spire Clare Park Hospital ,Spire Clare Park Hospital,1,1,1,1,1,1,1,,,1,,,1,1,,,,England
1-2745284068,Spire Dunedin Hospital ,Spire Dunedin Hospital,1,1,1,1,1,1,1,,,1,,,1,1,,,,England
1-2745680580,Spire Elland Hospital Including Longlands Consulting Rooms ,Spire Elland Hospital,1,1,1,1,1,1,1,,,1,,,1,1,,,,England
1-2745681065,Spire Fylde Coast Hospital ,Spire Fylde Coast Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-129798171,Spire Gatwick Park Hospital ,Spire Gatwick Park Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-129798190,Spire Harpenden Hospital ,Spire Harpenden Hospital,1,1,1,1,1,1,1,,,1,,,1,1,,,,England
1-129798209,Spire Hartswood Hospital ,Spire Hartswood Hospital,1,1,1,1,1,1,1,,,1,,,1,1,,,,England
1-2745570008,Spire Hull & East Riding Hospital ,Spire Hull & East Riding Hospital,1,1,1,1,1,1,1,,,1,,,1,1,,,,England
1-129798228,Spire Leeds Hospital ,Spire Leeds Hospital,1,1,1,1,1,1,1,,,1,,,1,1,,,,England
1-129798247,Spire Leicester Hospital ,Spire Leicester Hospital,1,1,1,1,1,1,1,,,1,,,1,1,,,,England
1-129798265,Spire Little Aston Hospital ,Spire Little Aston Hospital,1,1,1,1,1,1,1,,,1,,,1,1,,,,England
1-2745411269,Spire Liverpool Hospital ,Spire Liverpool Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-129798374,Spire London East Hospital ,Spire London East Hospital,1,1,1,1,1,1,1,,1,1,,,1,1,,,,England
1-3075405928,Spire Manchester Hospital ,Spire Manchester Hospital,1,1,1,1,1,1,1,,,1,,,1,1,,,,England
1-2745185984,Spire Methley Park Hospital ,Spire Methley Park Hospital,1,1,1,1,1,1,1,,,1,,,1,1,,,,England
1-523658550,The Montefiore Hospital ,Spire Montefiore Hospital,1,1,1,1,1,1,1,,,1,,,1,1,,,,England
1-129798303,Spire Murrayfield Hospital ,Spire Murrayfield Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-129798322,Spire Norwich Hospital ,Spire Norwich Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-3222321660,Spire Nottingham Hospital ,Spire Nottingham Hospital,1,1,1,1,1,1,1,,1,1,,,1,1,,,,England
1-129798341,Spire Parkway Hospital ,Spire Parkway Hospital,1,1,1,1,1,1,1,,,1,,,1,1,,,,England
1-129798357,Spire Portsmouth Hospital ,Spire Portsmouth Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-2745329906,Spire Regency Hospital ,Spire Regency Hospital,1,1,1,1,1,1,1,,,1,,,1,1,,,,England
1-129798393,Spire South Bank Hospital ,Spire South Bank Hospital,1,1,1,1,1,1,1,,,1,,,1,1,,,,England
1-129798412,Spire Southampton Hospital ,Spire Southampton Hospital,1,1,1,1,1,1,1,,,,,,1,1,,,C,England
1-1382018165,St Anthony's Hospital ,Spire St Anthony's Hospital,1,1,1,1,1,1,1,,,1,,,1,1,,,,England
1-129798431,Spire Sussex Hospital ,Spire Sussex Hospital,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,,England
1-2745569338,Spire Thames Valley Hospital ,Spire Thames Valley Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-129798450,Spire Tunbridge Wells Hospital ,Spire Tunbridge Wells Hospital,1,1,1,1,1,1,1,,,1,,,1,1,,,,England
1-129798468,Spire Washington Hospital ,Spire Washington Hospital,1,1,1,1,1,1,1,,1,1,,,1,1,,,,England
1-129798487,Spire Wellesley Hospital ,Spire Wellesley Hospital,1,1,1,1,1,1,1,1,1,1,,,1,1,,,,England
1-112968810,St Hugh's Hospital ,St Hugh’s Hospital,1,1,1,1,1,1,1,,,1,,,1,1,,,,England
RYJ01,St Mary's Hospital ,St Mary's Hospital - Lindo Wing,1,1,1,1,1,1,1,,1,C,1,,1,1,1,,,England
RYR16,St Richard's Hospital ,St Richard’s Hospital - The Chichester Suite,1,1,1,1,1,1,1,,1,1,1,,1,1,1,,,England
RJ122,St Thomas' Hospital ,St Thomas' Hospital - Westminster Suite,1,1,1,1,1,1,1,,1,1,1,,1,1,1,,,England
RBA11,Musgrove Park Hospital ,Taunton & Somerset Hospital - Parkside Suite,1,1,1,1,1,1,1,,1,1,1,,1,1,1,,,England
1-2112545028,Bridgewater Wellness Clinic ,The Bridgewater Hospital,1,1,1,1,1,1,1,,,1,,,1,1,,,,England
